date,water_level,volume,TDS,K,Na,Mg,Ca,SO4,Cl,HCO3,CO3,density
4/15/2001,1274.59,16.79,251.9,,,,,,,,,
5/15/2001,1274.57,16.79,251.7,,,,,,,,,
6/15/2001,1274.47,16.34,258.5,,,,,,,,,
7/15/2001,1274.23,15.45,265.5,,,,,,,,,
8/6/2001,1274.06,14.58,272.5,,,,,,,,,
9/15/2001,1273.89,13.72,276.7,,,,,,,,,
10/15/2001,1273.77,13.3,275.6,,,,,,,,,
11/15/2001,1273.7,12.88,280.8,,,,,,,,,
12/15/2001,1273.67,12.88,280,,,,,,,,,
1/15/2002,1273.69,12.88,308.4,,,,,,,,,
2/15/2002,1273.71,13.3,298.4,,,,,,,,,
3/15/2002,1273.73,13.3,307.8,,,,,,,,,
4/15/2002,1273.87,13.72,275.5,,,,,,,,,
5/15/2002,1274.03,14.58,272,,,,,,,,,
6/15/2002,1274.02,14.58,272.2,,,,,,,,,
7/15/2002,1273.84,13.72,283.1,,,,,,,,,
8/15/2002,1273.63,12.88,308.1,,,,,,,,,
9/15/2002,1273.48,12.05,307.5,,,,,,,,,
10/15/2002,1273.35,11.64,309.1,,,,,,,,,
11/15/2002,1273.26,11.24,311.2,,,,,,,,,
12/15/2002,1273.27,11.24,303,,,,,,,,,
1/15/2003,1273.28,11.24,305,,,,,,,,,
2/15/2003,1273.29,11.24,311.6,,,,,,,,,
3/15/2003,1273.37,11.64,308.3,,,,,,,,,
5/15/2003,1274.11,15.01,237.4,,,,,,,,,
6/15/2003,1274.19,15.01,246.1,,,,,,,,,
7/15/2003,1274.06,14.58,260.7,,,,,,,,,
8/15/2003,1273.85,13.72,275.4,,,,,,,,,
9/15/2003,1273.71,13.3,286.9,,,,,,,,,
10/15/2003,1273.62,12.88,301.1,,,,,,,,,
11/15/2003,1273.57,12.46,303.8,,,,,,,,,
12/15/2003,1273.51,12.46,302.1,,,,,,,,,
1/15/2004,1273.52,12.46,301.9,,,,,,,,,
2/15/2004,1273.61,12.88,294.1,,,,,,,,,
3/15/2004,1273.65,12.88,277.9,,,,,,,,,
4/15/2004,1273.78,13.3,267.6,,,,,,,,,
5/15/2004,1274.03,14.58,248.5,,,,,,,,,
6/15/2004,1274.12,15.01,257.6,,,,,,,,,
7/15/2004,1273.98,14.14,274.5,,,,,,,,,
8/15/2004,1273.77,13.3,294.3,,,,,,,,,
9/15/2004,1273.61,12.88,290.5,,,,,,,,,
10/15/2004,1273.45,12.05,308,,,,,,,,,
11/15/2004,1273.42,12.05,307.9,,,,,,,,,
12/15/2004,1273.41,12.05,312.4,,,,,,,,,
1/15/2005,1273.41,12.05,308.4,,,,,,,,,
2/15/2005,1273.49,12.05,304.7,,,,,,,,,
3/15/2005,1273.66,12.88,301.5,,,,,,,,,
