date,reference (Lake-averaged),level(m),TDS(g/L)
2/26/2014,EAWB 2,1270.62,372.608
4/13/2014,EAWB 2,1270.71,377.176
4/23/2014,EAWB 2,1270.7,387.818
6/1/2014,EAWB 2,1270.63,404.58
10/11/2014,EAWB 2,1270.24,397.4266667
11/19/2014,EAWB 2,1270.39,356.48
12/16/2014,EAWB 2,1270.53,360.465
1/15/2015,EAWB 2,1270.63,343.1675
2/9/2015,EAWB 2,1270.58,350.43
2/26/2015,EAWB 2,1270.64,360.746
5/5/2015,EAWB 2,1270.62,350.995
6/11/2015,EAWB 2,1270.55,404.9633333
10/20/2015,EAWB 2,1270.04,395.1233333
1/16/2016,EAWB 2,1270.37,333.34
4/12/2016,EAWB 2,1270.89,339.045
4/28/2016,EAWB 2,1271.06,341.4675
6/1/2016,EAWB 2,1271.1,345.344
7/18/2016,EAWB 2,1270.85,365.252
8/20/2016,EAWB 2,1270.69,368.978
9/13/2016,EAWB 2,1270.58,378.36
10/20/2016,EAWB 2,1270.47,390.488
11/11/2016,EAWB 2,1270.48,387.884
12/13/2016,EAWB 2,1270.5,360.5425
1/17/2017,EAWB 2,1270.56,351.12
2/18/2017,EAWB 2,1270.59,358.492
4/23/2017,EAWB 2,1270.85,351.12
5/25/2017,EAWB 2,1270.93,343.47
7/15/2017,EAWB 2,1270.63,369.172
8/20/2017,EAWB 2,1270.44,325.44
8/25/2017,EAWB 2,1270.41,385.55
